Timestamp,Q1. What is your gender?,Q2. What is your current year of study?,Q3. What is your department / faculty?,Q4. Where do you currently live during the academic term?,Q5. Do you work part-time while studying?,"Q6. On average, how many hours do you sleep per night on weekdays?",Q7. What time do you usually go to bed on weekdays?,Q8. How often do you feel sleepy or tired during classes or study sessions?,Q9. How would you rate the overall quality of your sleep?,Q10. What is the main reason you stay up late at night? (If applicable),Q11. How many days per week do you engage in deliberate physical exercise?,"Q12. On days you exercise, how long is your typical session?",Q13. How much do you walk or move around on a typical day (excluding deliberate exercise)?,Q14. Do you believe regular physical activity positively affects your academic productivity?,Q15. How many meals do you typically eat per day?,Q16. Do you regularly skip breakfast?,Q17. How often do you consume fast food or processed junk food?,Q18. How much water do you drink on a typical day?,"Q19. How often do you consume caffeinated drinks (tea, coffee, energy drinks) to stay alert while studying?",Q20. How many hours per day do you spend on social media for non-academic purposes?,Q21. Do you use your phone or browse social media while studying?,Q22. To what extent do you feel social media distracts you from your academic responsibilities?,Q23. Do you use your phone for 30+ minutes immediately before going to sleep?,Q24. How often do you feel stressed or overwhelmed due to academic pressure?,Q25. What are your main sources of stress? (Select all that apply),Q26. How do you usually manage stress? (Select all that apply),Q27. How often do you feel anxious or low in mood in a typical week?,Q28. Does stress or poor mental health affect your ability to concentrate and study?,Q29. How many hours per week do you spend on leisure or hobbies (excluding screen time)?,Q30. How many hours per day do you dedicate to self-study outside class on a typical weekday?,Q31. How would you rate your overall academic productivity on a typical day?,Q32. Do you often procrastinate or delay starting academic tasks?,Q33. Rate how much each lifestyle factor affects your academic productivity: [Sleep quality & duration],Q33. Rate how much each lifestyle factor affects your academic productivity: [Physical exercise habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Diet & eating habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Social media & screen time],Q33. Rate how much each lifestyle factor affects your academic productivity: [Stress & mental health],Q34. Which single lifestyle factor do you think most negatively impacts your productivity?,Q35. Is there anything else you would like to share about how your lifestyle affects your productivity at NSTU? (Optional),Name,Score
03/07/2026 21:40:30,Male,1st Year,STATISTICS ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),3,Studying or completing assignments,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Agree,3 meals,Sometimes,3–4 times per week,1–2 litres,Daily (1 cup),3–4 hours,Sometimes,4,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Family expectations","Listening to music, Sleeping or resting",1–2 days,Agree,Less than 2 hours,1–2 hours,3,Often,4,2,2,4,3,Excessive social media / screen time,,Al Hasib Mahmud ,
03/07/2026 21:41:51,Male,2nd Year,Agriculture ,Rented mess / house near campus,No,6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),4,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Agree,3 meals,Usually,Rarely or never,1–2 litres,Occasionally,3–4 hours,Sometimes,3,Rarely,Rarely,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Talking to friends or family, Listening to music, Sleeping or resting",1–2 days,Agree,Less than 2 hours,1–2 hours,4,Sometimes,5,3,3,4,4,Excessive social media / screen time,,Mohammed Elias,
03/07/2026 21:43:04,Male,2nd Year,CSTE,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,12:00 AM – 2:00 AM,Never,3,Using social media / watching content,1–2 days,Less than 20 minutes,Very little — mostly sitting,Agree,2 meals,Rarely,1–2 times per week,1–2 litres,Occasionally,More than 4 hours,Almost always,5,"Yes, always",Rarely,Future career uncertainty,Scrolling social media,1–2 days,Strongly agree,Less than 2 hours,Less than 1 hour,1,Almost always,1,2,2,4,2,Excessive social media / screen time,No,Manik,
03/07/2026 21:48:20,Male,3rd Year,FTNS,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),4,Using social media / watching content,1–2 days,Less than 20 minutes,Very little — mostly sitting,Strongly agree,2 meals,Sometimes,Rarely or never,1–2 litres,Daily (1 cup),More than 4 hours,Almost always,5,"Yes, always",Sometimes,Exam pressure and assignment deadlines,Sleeping or resting,1–2 days,Agree,Less than 2 hours,1–2 hours,3,Almost always,4,4,4,4,4,Excessive social media / screen time,,MD.Ibrahim ,
03/07/2026 21:49:33,Male,1st Year,Applied Chemistry and Chemical Engineering ,Family home (commuting daily),No,Less than 5 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),3,Using social media / watching content,1–2 days,Less than 20 minutes,Light walking around campus,Strongly agree,More than 3 / multiple small meals,Never,Almost daily,2–3 litres,Multiple times per day,3–4 hours,Often,5,"Yes, always",Almost always,"Exam pressure and assignment deadlines, Financial problems, Future career uncertainty","Talking to friends or family, Listening to music, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,Less than 2 hours,Less than 1 hour,2,Often,5,3,4,5,5,Excessive social media / screen time,,Md.Shahnur Alam Chowdhury ,
03/07/2026 21:53:30,Female,2nd Year,Electrical and Electronic Engineering ,University hall / dormitory,Occasionally,5–6 hours,12:00 AM – 2:00 AM,Almost every day,3,Using social media / watching content,1–2 days,20–45 minutes,Moderate — walk or commute regularly,Agree,2 meals,Usually,1–2 times per week,1–2 litres,Multiple times per day,3–4 hours,Often,4,"Yes, always",Often,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Listening to music, Scrolling social media",3–4 days,Agree,Less than 2 hours,1–2 hours,2,Almost always,4,2,3,4,3,Excessive social media / screen time,,Lamia,
03/07/2026 22:07:05,Male,3rd Year,Eee,University hall / dormitory,No,6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,1–2 days,More than 45 minutes,Moderate — walk or commute regularly,Agree,3 meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),3–4 hours,Almost always,5,"Yes, always",Often,Financial problems,Exercise or physical activity,3–4 days,Disagree,2–5 hours,1–2 hours,4,Rarely,1,1,2,3,2,Excessive social media / screen time,,Md misbah,
03/07/2026 22:28:51,Female,1st Year,Economics ,Rented mess / house near campus,No,7–8 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Agree,3 meals,Rarely,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Almost always,5,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Talking to friends or family, Scrolling social media, Sleeping or resting, Prayer / religious practice",3–4 days,Agree,Less than 2 hours,1–2 hours,3,Sometimes,3,1,2,4,3,Excessive social media / screen time,No,Nayma Islam ,
03/07/2026 22:49:33,Male,1st Year,Statistics ,Rented mess / house near campus,No,6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),1,Using social media / watching content,5 or more days,More than 45 minutes,Light walking around campus,Strongly agree,2 meals,Never,1–2 times per week,2–3 litres,Daily (1 cup),1–2 hours,Never,1,No,Sometimes,Future career uncertainty,"Exercise or physical activity, Sleeping or resting, Prayer / religious practice",1–2 days,Agree,2–5 hours,1–2 hours,2,Sometimes,3,4,2,1,4,Excessive social media / screen time,,Md Abdul Hakim sajeeb ,
03/07/2026 22:49:50,Male,3rd Year,Zoology ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),5,Using social media / watching content,Never / 0 days,I don't exercise,Quite active throughout the day,Strongly agree,3 meals,Usually,3–4 times per week,More than 3 litres,Daily (1 cup),More than 4 hours,Almost always,5,"Yes, always",Sometimes,Future career uncertainty,Scrolling social media,1–2 days,Strongly agree,2–5 hours,2–4 hours,3,Sometimes,3,3,3,3,3,Unhealthy diet,,Tanvir Anjum Naim ,
03/07/2026 22:55:05,Female,4th Year,Food Technology and Nutrition Science ,University hall / dormitory,No,6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Using social media / watching content,1–2 days,Less than 20 minutes,Light walking around campus,Agree,3 meals,Rarely,1–2 times per week,2–3 litres,Never,More than 4 hours,Often,4,"Yes, but briefly (under 15 min)",Rarely,"Exam pressure and assignment deadlines, Future career uncertainty","Talking to friends or family, Sleeping or resting, Prayer / religious practice",1–2 days,Neutral,5–10 hours,1–2 hours,3,Often,4,3,3,4,3,Excessive social media / screen time,,Israt Jahan Jui ,
03/07/2026 23:35:49,Male,4th Year,Business Administration ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),3,Using social media / watching content,1–2 days,20–45 minutes,Light walking around campus,Agree,3 meals,Sometimes,1–2 times per week,1–2 litres,Occasionally,More than 4 hours,Often,5,"Yes, always",Almost always,"Exam pressure and assignment deadlines, Family expectations, Future career uncertainty","Talking to friends or family, Scrolling social media, Prayer / religious practice",3–4 days,Agree,2–5 hours,Less than 1 hour,3,Often,4,2,2,5,4,Excessive social media / screen time,,Mumtahin Hasnat ,
03/07/2026 23:40:59,Male,1st Year,Statistics ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,After 2:00 AM,Rarely (1–2 times/week),2,Using social media / watching content,1–2 days,20–45 minutes,Moderate — walk or commute regularly,Agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Often,4,"Yes, always",Often,Exam pressure and assignment deadlines,Talking to friends or family,1–2 days,Strongly agree,More than 10 hours,Less than 1 hour,3,Sometimes,4,1,2,4,5,Stress and anxiety,,Morshed alam,
03/07/2026 23:50:18,Male,4th Year,Applied Math,Rented mess / house near campus,Occasionally,5–6 hours,After 2:00 AM,Rarely (1–2 times/week),3,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Agree,2 meals,Usually,1–2 times per week,1–2 litres,Daily (1 cup),More than 4 hours,Sometimes,4,"Yes, always",Sometimes,"Financial problems, Relationship or social issues, Future career uncertainty","Listening to music, Prayer / religious practice",3–4 days,Agree,More than 10 hours,1–2 hours,2,Often,4,4,3,3,4,Unhealthy diet,Improving food Quality.,Monjil,
04/07/2026 00:01:37,Male,1st Year,EEE,Family home (commuting daily),"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,Never / 0 days,I don't exercise,Very little — mostly sitting,Agree,3 meals,Sometimes,Rarely or never,1–2 litres,Occasionally,3–4 hours,Sometimes,2,"Yes, always",Often,Exam pressure and assignment deadlines,"Sleeping or resting, Prayer / religious practice",1–2 days,Neutral,5–10 hours,2–4 hours,3,Rarely,2,1,1,2,2,Lack of exercise,,Robiul Awal Ashek,
04/07/2026 00:20:14,Male,1st Year,Microbiology ,Rented mess / house near campus,No,7–8 hours,12:00 AM – 2:00 AM,Almost every day,4,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Strongly agree,2 meals,Rarely,3–4 times per week,1–2 litres,Never,More than 4 hours,Almost always,5,"Yes, always",Often,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Relationship or social issues, Future career uncertainty",I don't manage it actively,Almost every day,Strongly agree,Less than 2 hours,Less than 1 hour,5,Almost always,5,3,5,5,5,Stress and anxiety,Yes This is highly affects the Productivity by yhe malnutrition for the university student and also unplanned academic pressure affect a student mentally,Rahat,
04/07/2026 00:36:36,Female,4th Year,Pharmacy ,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",Less than 5 hours,After 2:00 AM,Sometimes (3–4 times/week),1,Unable to sleep (insomnia / overthinking),Never / 0 days,I don't exercise,Very little — mostly sitting,Agree,2 meals,Rarely,Rarely or never,Less than 1 litre,Daily (1 cup),1–2 hours,Sometimes,2,"Yes, always",Almost always,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Relationship or social issues, Future career uncertainty","Talking to friends or family, Scrolling social media, Prayer / religious practice, I don't manage it actively",Almost every day,Strongly agree,Less than 2 hours,1–2 hours,2,Sometimes,3,2,3,1,4,Stress and anxiety,,Samia Jahan,
04/07/2026 02:01:41,Male,3rd Year,Management Information Systems ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Never,3,Studying or completing assignments,1–2 days,20–45 minutes,Light walking around campus,Agree,3 meals,Sometimes,Rarely or never,2–3 litres,Multiple times per day,1–2 hours,Rarely,4,"Yes, but briefly (under 15 min)",Never,"Exam pressure and assignment deadlines, Relationship or social issues, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Listening to music, Sleeping or resting, Prayer / religious practice",1–2 days,Agree,2–5 hours,1–2 hours,3,Sometimes,2,5,2,5,2,Poor sleep,,Jubayer ,
04/07/2026 10:31:39,Male,1st Year,Microbiology ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Studying or completing assignments,1–2 days,Less than 20 minutes,Moderate — walk or commute regularly,Agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Daily (1 cup),3–4 hours,Sometimes,3,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Financial problems, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Scrolling social media, Prayer / religious practice",1–2 days,Neutral,Less than 2 hours,2–4 hours,3,Sometimes,1,1,1,3,2,Unhealthy diet,Moderate ,Md.Rakibul Hasan,
05/07/2026 00:08:40,Female,3rd Year,Applied chemistry and chemical engineering ,Rented mess / house near campus,No,5–6 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),5,Studying or completing assignments,Never / 0 days,I don't exercise,Light walking around campus,Strongly agree,More than 3 / multiple small meals,Rarely,1–2 times per week,1–2 litres,Occasionally,More than 4 hours,Often,5,"Yes, always",Almost always,Exam pressure and assignment deadlines,"Talking to friends or family, Scrolling social media",1–2 days,Strongly agree,Less than 2 hours,Less than 1 hour,3,Rarely,4,3,3,4,4,Excessive social media / screen time,No,Tavaussm Binta Islam ,
05/07/2026 01:49:57,Female,3rd Year,Statistics ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,3–4 days,20–45 minutes,Moderate — walk or commute regularly,Neutral,2 meals,Rarely,Rarely or never,1–2 litres,Occasionally,More than 4 hours,Sometimes,5,"Yes, always",Often,"Exam pressure and assignment deadlines, Relationship or social issues, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Listening to music, Scrolling social media",1–2 days,Strongly agree,Less than 2 hours,1–2 hours,1,Often,4,2,2,5,3,Stress and anxiety,Feeling lonely and couldn’t move on from my past relationship that creating stress . ,Atika Iffat ,
05/07/2026 19:39:39,Female,3rd Year,Food technology and nutrition science ,Family home (commuting daily),No,6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),5,Using social media / watching content,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Neutral,3 meals,Usually,Rarely or never,1–2 litres,Daily (1 cup),More than 4 hours,Sometimes,5,"Yes, always",Almost always,Exam pressure and assignment deadlines,Sleeping or resting,Almost every day,Strongly agree,Less than 2 hours,More than 4 hours,3,Sometimes,2,1,4,4,4,Stress and anxiety,,Shalina akther Suborna ,
05/07/2026 20:01:01,Male,1st Year,Food Technology and Nutrition Science ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Never,4,Using social media / watching content,1–2 days,More than 45 minutes,Light walking around campus,Agree,2 meals,Sometimes,3–4 times per week,1–2 litres,Occasionally,3–4 hours,Often,4,"Yes, always",Often,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Relationship or social issues, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Scrolling social media, Prayer / religious practice",3–4 days,Strongly agree,Less than 2 hours,Less than 1 hour,1,Almost always,2,3,3,4,3,Excessive social media / screen time,Peer pressure nay not be the cause of my academic failure...I think my life choices have ruined my overall potential. ,Tauhid-Ur-Rahman Sazit ,
06/05/2026 11:04:35,Male,3rd Year,Iit,Rented mess / house near campus,No,7–8 hours,12:00 AM – 2:00 AM,Never,2,Studying or completing assignments,1–2 days,Less than 20 minutes,Light walking around campus,Agree,2 meals,Never,Rarely or never,1–2 litres,Occasionally,3–4 hours,Rarely,1,"Yes, always",Often,Exam pressure and assignment deadlines,Exercise or physical activity,1–2 days,Strongly agree,Less than 2 hours,1–2 hours,1,Never,1,2,2,4,3,Poor sleep,,,
06/05/2026 11:10:25,Female,1st Year,IIS ,University hall / dormitory,No,7–8 hours,After 2:00 AM,Sometimes (3–4 times/week),3,I don't usually stay up late,5 or more days,Less than 20 minutes,Light walking around campus,Strongly agree,3 meals,Never,Rarely or never,1–2 litres,Daily (1 cup),More than 4 hours,Often,1,Rarely,Sometimes,Exam pressure and assignment deadlines,Listening to music,1–2 days,Agree,Less than 2 hours,Less than 1 hour,2,Often,2,4,2,5,2,Unhealthy diet,Yes,,
06/05/2026 11:20:37,Male,3rd Year,IIT,University hall / dormitory,Occasionally,5–6 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),4,Unable to sleep (insomnia / overthinking),1–2 days,Less than 20 minutes,Light walking around campus,Strongly agree,2 meals,Sometimes,1–2 times per week,2–3 litres,Multiple times per day,Less than 1 hour,Rarely,1,"Yes, but briefly (under 15 min)",Sometimes,Exam pressure and assignment deadlines,Scrolling social media,3–4 days,Neutral,2–5 hours,1–2 hours,3,Sometimes,2,4,3,5,2,Lack of exercise,,,
06/05/2026 11:31:01,Male,2nd Year,Software Engineering,Rented mess / house near campus,Occasionally,6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),3,Studying or completing assignments,5 or more days,20–45 minutes,Moderate — walk or commute regularly,Strongly agree,2 meals,Never,Rarely or never,1–2 litres,Occasionally,1–2 hours,Sometimes,4,No,Rarely,"Exam pressure and assignment deadlines, Financial problems, Family expectations","Exercise or physical activity, Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,5–10 hours,2–4 hours,1,Almost always,4,4,4,3,5,Stress and anxiety,"Dedicated,Consistent and Disciplined ",,
06/05/2026 11:41:26,Female,2nd Year,Software Engineering ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),4,Studying or completing assignments,5 or more days,Less than 20 minutes,Moderate — walk or commute regularly,Agree,2 meals,Usually,Rarely or never,1–2 litres,Daily (1 cup),3–4 hours,Often,2,"Yes, always",Often,Future career uncertainty,Talking to friends or family,1–2 days,Strongly agree,2–5 hours,1–2 hours,4,Sometimes,4,4,4,3,5,Poor sleep,No,,
06/05/2026 11:43:50,Female,2nd Year,Software Engineering,Family home (commuting daily),"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Never,4,I don't usually stay up late,5 or more days,20–45 minutes,Very little — mostly sitting,Agree,3 meals,Rarely,1–2 times per week,1–2 litres,Occasionally,1–2 hours,Rarely,2,"Yes, always",Often,Future career uncertainty,"Talking to friends or family, Listening to music, Scrolling social media, Prayer / religious practice",1–2 days,Strongly agree,Less than 2 hours,2–4 hours,3,Rarely,3,4,2,5,1,Stress and anxiety,Increase the instrument and make a Gym,,
06/05/2026 12:23:39,Male,2nd Year,IIT,Family home (commuting daily),No,6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),5,Unable to sleep (insomnia / overthinking),3–4 days,Less than 20 minutes,Light walking around campus,Agree,2 meals,Always,Almost daily,2–3 litres,Occasionally,1–2 hours,Sometimes,2,"Yes, but briefly (under 15 min)",Often,I don't feel significantly stressed,Sleeping or resting,1–2 days,Agree,Less than 2 hours,More than 4 hours,3,Sometimes,3,2,4,4,2,Poor sleep,,,
06/05/2026 12:48:52,Male,2nd Year,Software Engineering ,University hall / dormitory,No,6–7 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),5,Using social media / watching content,1–2 days,20–45 minutes,Moderate — walk or commute regularly,Agree,3 meals,Rarely,Rarely or never,1–2 litres,Occasionally,1–2 hours,Never,3,"Yes, always",Almost always,"Exam pressure and assignment deadlines, Relationship or social issues, Future career uncertainty","Exercise or physical activity, Talking to friends or family, Prayer / religious practice",3–4 days,Neutral,Less than 2 hours,2–4 hours,3,Sometimes,5,3,5,2,3,Excessive social media / screen time,,,
06/05/2026 12:56:56,Male,1st Year,IIt,Rented mess / house near campus,Occasionally,6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),2,Using social media / watching content,Never / 0 days,I don't exercise,Quite active throughout the day,Agree,2 meals,Always,Rarely or never,1–2 litres,Daily (1 cup),More than 4 hours,Often,4,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, I don't feel significantly stressed",Talking to friends or family,3–4 days,Strongly disagree,More than 10 hours,2–4 hours,1,Often,2,1,2,1,2,Lack of exercise,,,
06/05/2026 18:04:39,Male,1st Year,Software Engineering ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",7–8 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),5,I don't usually stay up late,Never / 0 days,I don't exercise,Very little — mostly sitting,Agree,2 meals,Rarely,Almost daily,1–2 litres,Occasionally,3–4 hours,Rarely,5,"Yes, always",Often,Exam pressure and assignment deadlines,Scrolling social media,3–4 days,Strongly agree,Less than 2 hours,Less than 1 hour,2,Almost always,4,1,4,3,4,Excessive social media / screen time,,,
06/05/2026 21:02:57,Male,1st Year,IIT,Rented mess / house near campus,No,6–7 hours,10:00 PM – 12:00 AM,Never,3,Using social media / watching content,Never / 0 days,I don't exercise,Light walking around campus,Neutral,2 meals,Rarely,Rarely or never,2–3 litres,Occasionally,1–2 hours,Sometimes,5,"Yes, always",Never,Exam pressure and assignment deadlines,Prayer / religious practice,1–2 days,Neutral,2–5 hours,More than 4 hours,3,Sometimes,3,1,1,4,2,Poor sleep,,,
06/05/2026 21:06:02,Male,1st Year,Institute of Information Technology ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),5,Studying or completing assignments,3–4 days,Less than 20 minutes,Quite active throughout the day,Agree,1 meal,Never,1–2 times per week,1–2 litres,Occasionally,1–2 hours,Sometimes,3,"Yes, always",Never,"Exam pressure and assignment deadlines, Financial problems, Future career uncertainty","Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting",1–2 days,Strongly agree,Less than 2 hours,1–2 hours,2,Rarely,2,3,2,5,3,Lack of exercise,,,
06/05/2026 21:34:32,Male,2nd Year,Software Engineering,Rented mess / house near campus,No,5–6 hours,10:00 PM – 12:00 AM,Almost every day,3,Using social media / watching content,1–2 days,Less than 20 minutes,Quite active throughout the day,Agree,2 meals,Rarely,1–2 times per week,2–3 litres,Daily (1 cup),Less than 1 hour,Sometimes,3,"Yes, always",Rarely,"Exam pressure and assignment deadlines, Family expectations, Future career uncertainty","Talking to friends or family, Listening to music, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,5–10 hours,1–2 hours,1,Almost always,3,3,1,4,4,Stress and anxiety,No,,
06/05/2026 21:37:27,Male,2nd Year,Oceanography ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),4,Unable to sleep (insomnia / overthinking),Never / 0 days,I don't exercise,Very little — mostly sitting,Neutral,2 meals,Usually,3–4 times per week,1–2 litres,Occasionally,1–2 hours,Almost always,2,"Yes, but briefly (under 15 min)",Almost always,Financial problems,Exercise or physical activity,Never,Neutral,2–5 hours,1–2 hours,2,Never,2,3,4,3,3,Unhealthy diet,,,
06/05/2026 21:41:52,Male,3rd Year,CSE,Rented mess / house near campus,No,6–7 hours,After 2:00 AM,Sometimes (3–4 times/week),1,Using social media / watching content,1–2 days,Less than 20 minutes,Light walking around campus,Strongly agree,3 meals,Sometimes,1–2 times per week,1–2 litres,Never,More than 4 hours,Almost always,3,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Scrolling social media, Sleeping or resting, Prayer / religious practice",Almost every day,Agree,Less than 2 hours,Less than 1 hour,3,Sometimes,3,2,3,5,3,Lack of exercise,,,
06/05/2026 22:07:46,Male,2nd Year,CSTE,University hall / dormitory,Occasionally,7–8 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),4,Using social media / watching content,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Agree,2 meals,Rarely,1–2 times per week,Less than 1 litre,Multiple times per day,3–4 hours,Sometimes,4,"Yes, always",Rarely,"Exam pressure and assignment deadlines, Financial problems, Relationship or social issues, Future career uncertainty","Listening to music, Scrolling social media, Sleeping or resting",3–4 days,Strongly agree,Less than 2 hours,Less than 1 hour,1,Sometimes,5,2,4,4,5,Stress and anxiety,,,
06/05/2026 23:55:48,Male,4th Year,Zoology ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),3,Studying or completing assignments,3–4 days,Less than 20 minutes,Very little — mostly sitting,Agree,3 meals,Always,1–2 times per week,1–2 litres,Multiple times per day,1–2 hours,Sometimes,3,"Yes, but briefly (under 15 min)",Often,Relationship or social issues,Scrolling social media,3–4 days,Agree,2–5 hours,More than 4 hours,3,Sometimes,4,1,3,1,1,Excessive social media / screen time,Good,,
07/05/2026 21:08:00,Male,2nd Year,Textile Engineering,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),1,Using social media / watching content,Never / 0 days,I don't exercise,Quite active throughout the day,Agree,3 meals,Rarely,1–2 times per week,1–2 litres,Daily (1 cup),1–2 hours,Rarely,4,"Yes, always",Sometimes,I don't feel significantly stressed,"Talking to friends or family, Listening to music, Sleeping or resting",Almost every day,Agree,Less than 2 hours,Less than 1 hour,3,Rarely,5,3,2,3,2,Poor sleep,No,,
10/05/2026 09:57:48,Male,,English ,University hall / dormitory,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),4,Using social media / watching content,3–4 days,More than 45 minutes,Very little — mostly sitting,Agree,More than 3 / multiple small meals,Sometimes,Almost daily,Less than 1 litre,Occasionally,More than 4 hours,Almost always,5,Rarely,Often,Relationship or social issues,Talking to friends or family,1–2 days,Strongly disagree,2–5 hours,1–2 hours,4,Often,1,4,1,5,1,Unhealthy diet,,,
05/05/2026 12:05:19,Female,3rd Year,Management Information Systems ,Rented mess / house near campus,No,5–6 hours,12:00 AM – 2:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,5 or more days,Less than 20 minutes,Light walking around campus,Strongly agree,2 meals,Rarely,Almost daily,2–3 litres,Daily (1 cup),3–4 hours,Often,4,"Yes, but briefly (under 15 min)",Almost always,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Talking to friends or family, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",3–4 days,Neutral,2–5 hours,Less than 1 hour,3,Often,4,1,4,2,4,Excessive social media / screen time,,,
05/05/2026 12:20:54,Female,3rd Year,Software Engineering ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,10:00 PM – 12:00 AM,Almost every day,4,Using social media / watching content,1–2 days,Less than 20 minutes,Moderate — walk or commute regularly,Agree,2 meals,Sometimes,1–2 times per week,1–2 litres,Multiple times per day,More than 4 hours,Almost always,5,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Financial problems, Family expectations, Future career uncertainty","Exercise or physical activity, Listening to music, Scrolling social media, Sleeping or resting, Prayer / religious practice",1–2 days,Strongly agree,More than 10 hours,Less than 1 hour,2,Often,4,2,4,5,4,Excessive social media / screen time,N/A,,
