Timestamp,Q1. What is your gender?,Q2. What is your current year of study?,Q3. What is your department / faculty?,Q4. Where do you currently live during the academic term?,Q5. Do you work part-time while studying?,"Q6. On average, how many hours do you sleep per night on weekdays?",Q7. What time do you usually go to bed on weekdays?,Q8. How often do you feel sleepy or tired during classes or study sessions?,Q9. How would you rate the overall quality of your sleep?,Q10. What is the main reason you stay up late at night? (If applicable),Q11. How many days per week do you engage in deliberate physical exercise?,"Q12. On days you exercise, how long is your typical session?",Q13. How much do you walk or move around on a typical day (excluding deliberate exercise)?,Q14. Do you believe regular physical activity positively affects your academic productivity?,Q15. How many meals do you typically eat per day?,Q16. Do you regularly skip breakfast?,Q17. How often do you consume fast food or processed junk food?,Q18. How much water do you drink on a typical day?,"Q19. How often do you consume caffeinated drinks (tea, coffee, energy drinks) to stay alert while studying?",Q20. How many hours per day do you spend on social media for non-academic purposes?,Q21. Do you use your phone or browse social media while studying?,Q22. To what extent do you feel social media distracts you from your academic responsibilities?,Q23. Do you use your phone for 30+ minutes immediately before going to sleep?,Q24. How often do you feel stressed or overwhelmed due to academic pressure?,Q25. What are your main sources of stress? (Select all that apply),Q26. How do you usually manage stress? (Select all that apply),Q27. How often do you feel anxious or low in mood in a typical week?,Q28. Does stress or poor mental health affect your ability to concentrate and study?,Q29. How many hours per week do you spend on leisure or hobbies (excluding screen time)?,Q30. How many hours per day do you dedicate to self-study outside class on a typical weekday?,Q31. How would you rate your overall academic productivity on a typical day?,Q32. Do you often procrastinate or delay starting academic tasks?,Q33. Rate how much each lifestyle factor affects your academic productivity: [Sleep quality & duration],Q33. Rate how much each lifestyle factor affects your academic productivity: [Physical exercise habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Diet & eating habits],Q33. Rate how much each lifestyle factor affects your academic productivity: [Social media & screen time],Q33. Rate how much each lifestyle factor affects your academic productivity: [Stress & mental health],Q34. Which single lifestyle factor do you think most negatively impacts your productivity?,Q35. Is there anything else you would like to share about how your lifestyle affects your productivity at NSTU? (Optional),Name,Score
02/07/2026 11:46:07,Male,2nd Year,IIT,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",More than 8 hours,10:00 PM – 12:00 AM,Never,2,Using social media / watching content,3–4 days,Less than 20 minutes,Light walking around campus,Neutral,3 meals,Rarely,1–2 times per week,1–2 litres,Daily (1 cup),Less than 1 hour,Rarely,3,"Yes, but briefly (under 15 min)",Rarely,"Financial problems, Family expectations","Listening to music, Sleeping or resting",3–4 days,Agree,2–5 hours,1–2 hours,2,Sometimes,3,2,3,3,4,Unhealthy diet,,MD RAFIUL ALAM ABIR,
02/07/2026 11:46:11,Female,3rd Year,CSTE,Rented mess / house near campus,Occasionally,6–7 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),3,Using social media / watching content,3–4 days,20–45 minutes,Light walking around campus,Agree,3 meals,Sometimes,1–2 times per week,2–3 litres,Daily (1 cup),3–4 hours,Sometimes,2,Rarely,Often,Future career uncertainty,Scrolling social media,3–4 days,Neutral,Less than 2 hours,2–4 hours,3,Sometimes,3,3,4,1,3,Unhealthy diet,,Rimon,
03/07/2026 21:17:43,Male,3rd Year,Mis,University hall / dormitory,No,6–7 hours,10:00 PM – 12:00 AM,Rarely (1–2 times/week),3,Socialising with friends,1–2 days,Less than 20 minutes,Light walking around campus,Neutral,2 meals,Sometimes,1–2 times per week,1–2 litres,Occasionally,1–2 hours,Rarely,3,"Yes, but briefly (under 15 min)",Sometimes,Family expectations,Scrolling social media,3–4 days,Neutral,2–5 hours,1–2 hours,3,Sometimes,3,3,3,3,3,Unhealthy diet,,Md Sadik,
03/07/2026 21:25:45,Female,Masters / Post-graduate,ISLM,Family home (commuting daily),No,6–7 hours,12:00 AM – 2:00 AM,Almost every day,2,Using social media / watching content,Never / 0 days,I don't exercise,Very little — mostly sitting,Agree,3 meals,Never,1–2 times per week,2–3 litres,Daily (1 cup),3–4 hours,Often,3,Rarely,Sometimes,Family expectations,Scrolling social media,3–4 days,Neutral,5–10 hours,2–4 hours,4,Often,3,4,3,3,3,Unhealthy diet,,Rafa,
03/07/2026 21:25:45,Female,Masters / Post-graduate,ISLM,Family home (commuting daily),No,6–7 hours,12:00 AM – 2:00 AM,Almost every day,2,Using social media / watching content,Never / 0 days,I don't exercise,Very little — mostly sitting,Agree,3 meals,Never,1–2 times per week,2–3 litres,Daily (1 cup),3–4 hours,Often,3,Rarely,Sometimes,Family expectations,Scrolling social media,3–4 days,Neutral,5–10 hours,2–4 hours,4,Often,3,4,3,3,3,Unhealthy diet,,Rafa,
03/07/2026 21:26:52,Male,Masters / Post-graduate,Information Science and Library Management ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",6–7 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Socialising with friends,5 or more days,Less than 20 minutes,Moderate — walk or commute regularly,Disagree,3 meals,Sometimes,1–2 times per week,2–3 litres,Daily (1 cup),3–4 hours,Often,5,Rarely,Often,I don't feel significantly stressed,"Talking to friends or family, Sleeping or resting, Prayer / religious practice",Almost every day,Strongly disagree,5–10 hours,More than 4 hours,5,Often,5,4,4,5,4,Stress and anxiety,,Arnab Chakrobortty ,
03/07/2026 21:27:00,Male,4th Year,Islm,Family home (commuting daily),Occasionally,6–7 hours,Before 10:00 PM,Rarely (1–2 times/week),3,Socialising with friends,Never / 0 days,20–45 minutes,Light walking around campus,Neutral,2 meals,Usually,3–4 times per week,1–2 litres,Occasionally,3–4 hours,Often,3,"Yes, but briefly (under 15 min)",Rarely,Relationship or social issues,Listening to music,1–2 days,Disagree,2–5 hours,2–4 hours,3,Sometimes,3,3,3,3,3,Lack of exercise,,Sajjad rayhan,
03/07/2026 21:27:08,Male,4th Year,Food technology and nutrition science ,Rented mess / house near campus,Occasionally,5–6 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Using social media / watching content,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Strongly agree,3 meals,Sometimes,1–2 times per week,1–2 litres,Occasionally,3–4 hours,Rarely,4,"Yes, but briefly (under 15 min)",Rarely,"Financial problems, Future career uncertainty","Talking to friends or family, Sleeping or resting, Prayer / religious practice",Never,Strongly agree,Less than 2 hours,1–2 hours,2,Sometimes,4,3,4,3,4,Excessive social media / screen time,,Abdullah Al Mahmud ,
03/07/2026 21:27:51,Male,2nd Year,A.Math,Rented mess / house near campus,Occasionally,5–6 hours,12:00 AM – 2:00 AM,Rarely (1–2 times/week),4,Studying or completing assignments,1–2 days,Less than 20 minutes,Moderate — walk or commute regularly,Strongly agree,2 meals,Never,1–2 times per week,2–3 litres,Daily (1 cup),3–4 hours,Sometimes,4,"Yes, always",Never,Financial problems,Listening to music,1–2 days,Disagree,2–5 hours,2–4 hours,2,Sometimes,4,2,2,3,4,Lack of exercise,,Omi,
03/07/2026 21:28:26,Female,2nd Year,Social  work ,Rented mess / house near campus,"Yes, regularly (tutoring, freelancing etc.)",5–6 hours,10:00 PM – 12:00 AM,Sometimes (3–4 times/week),3,Studying or completing assignments,Never / 0 days,I don't exercise,Moderate — walk or commute regularly,Strongly agree,2 meals,Never,1–2 times per week,1–2 litres,Occasionally,More than 4 hours,Sometimes,4,"Yes, always",Sometimes,"Exam pressure and assignment deadlines, Family expectations, Relationship or social issues, Future career uncertainty, I don't feel significantly stressed","Exercise or physical activity, Talking to friends or family, Listening to music, Scrolling social media, Prayer / religious practice",1–2 days,Strongly agree,2–5 hours,More than 4 hours,3,Never,3,2,2,3,3,Poor sleep,,Israt Jahan ,
